order_id;customer_id;order_date;channel;status;payment_method;shipping_cost;order_total
1;299;2025-06-03T17:11:34.445Z;web;completed;credit_card;31.4;512.93
2;917;2025-07-01T13:39:33.297Z;marketplace;completed;credit_card;7.4;895.18
3;379;2025-08-29T17:33:53.421Z;mobile_app;completed;credit_card;18.6;260.32
4;276;2025-03-26T02:11:54.371Z;web;completed;debit_card;3.87;678.65
5;828;2025-06-25T07:50:16.316Z;physical_store;refunded;credit_card;22.14;866.12
6;839;2025-11-12T14:51:15.578Z;physical_store;refunded;debit_card;37.45;618.71
7;242;2025-05-19T21:04:35.008Z;physical_store;completed;credit_card;34.16;88.19
8;585;2025-07-24T02:33:18.803Z;mobile_app;completed;pix;6.92;991.6
9;996;2025-06-18T09:02:26.651Z;mobile_app;pending;credit_card;16.93;1005.44
10;446;2025-12-08T23:19:46.602Z;mobile_app;refunded;debit_card;33.36;306.09
11;933;2025-07-21T16:29:03.747Z;web;completed;credit_card;22.08;881.57
12;533;2025-12-08T16:12:06.302Z;physical_store;canceled;credit_card;28.02;623.84
13;801;2024-12-26T12:01:48.133Z;physical_store;completed;credit_card;22.66;613.68
14;988;2025-01-23T00:27:16.259Z;web;canceled;credit_card;4.04;304.41
15;549;2025-12-12T01:15:38.079Z;marketplace;canceled;credit_card;26.19;606.77
16;485;2025-08-28T06:14:05.094Z;web;completed;credit_card;24.73;711.93
17;412;2025-04-18T18:21:32.164Z;web;completed;pix;27.62;95.93
18;487;2025-05-29T04:35:36.249Z;marketplace;canceled;credit_card;32.7;349.69
19;288;2025-11-23T07:19:29.617Z;physical_store;canceled;debit_card;38.9;282.3
20;308;2025-11-15T05:54:12.582Z;physical_store;pending;credit_card;29.15;642.03
21;92;2025-03-01T08:40:07.120Z;mobile_app;completed;paypal;16.29;511.06
22;529;2025-04-27T06:51:04.908Z;marketplace;pending;credit_card;6.36;331.26
23;519;2025-06-17T17:06:22.984Z;physical_store;completed;pix;35.17;83.54
24;198;2025-11-04T02:31:54.166Z;mobile_app;pending;credit_card;18.26;937.93
25;722;2025-10-22T09:42:11.336Z;mobile_app;completed;pix;20.21;662.91
26;127;2025-02-20T14:30:09.008Z;web;completed;credit_card;17.84;979.15
27;486;2025-08-05T09:27:26.418Z;marketplace;completed;pix;10.35;844.6
28;93;2025-01-15T21:07:43.936Z;marketplace;completed;credit_card;34.15;818.38
29;220;2025-02-10T07:34:44.049Z;mobile_app;completed;debit_card;10.76;432.08
30;21;2025-05-11T22:45:31.157Z;web;completed;credit_card;6.93;811.78
31;230;2025-09-19T01:14:52.132Z;marketplace;completed;paypal;28.51;743.69
32;282;2025-04-26T09:29:40.947Z;physical_store;canceled;pix;18.36;252.2
33;310;2025-04-28T08:14:34.072Z;physical_store;completed;credit_card;39.98;1007.14
34;860;2025-03-19T21:49:23.457Z;marketplace;completed;credit_card;11.31;702.03
35;494;2025-10-30T12:32:21.868Z;web;completed;credit_card;13.01;304.36
36;672;2025-06-07T07:40:41.275Z;marketplace;completed;credit_card;9.61;85.25
37;878;2025-08-14T14:13:32.416Z;physical_store;completed;debit_card;28.85;691.14
38;303;2025-01-14T15:09:34.100Z;marketplace;canceled;credit_card;29.47;620.83
39;586;2025-10-25T01:32:59.334Z;mobile_app;completed;debit_card;27.45;673.0
